Date,Customer Code,Distributor Code,Seller Code,Customer Category,Product Code,Product Name,Product Width,Product Height,Product Depth,Sale Quantity,Sale Amount
19-03-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,15,1395
24-03-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,2,332
02-04-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,9,837
02-04-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,2,400
02-04-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,5,960
03-04-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,6,1428
05-04-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,10,1160
05-04-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,1,125
08-04-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,14,3388
08-04-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,10,2420
08-04-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,13,2860
09-04-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,7,1400
10-04-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,2,476
10-04-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,2,400
10-04-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,8,1000
17-04-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,5,580
18-04-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,1,200
18-04-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,9,1728
18-04-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,11,1276
22-04-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,4,664
22-04-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,11,2574
22-04-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,4,880
25-04-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,14,1750
26-04-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,5,1170
26-04-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,3,702
26-04-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,14,3276
28-04-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,1,166
30-04-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,8,1600
30-04-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,2,468
30-04-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,5,1170
02-05-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,4,968
02-05-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,13,2496
03-05-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,10,1660
05-05-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,13,2600
08-05-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,12,2640
11-05-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,5,1170
11-05-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,10,1250
11-05-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,3,600
14-05-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,10,930
14-05-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,4,936
14-05-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,1,166
15-05-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,3,600
28-05-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,11,2662
28-05-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,2,468
31-05-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,7,1638
31-05-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,11,2618
31-05-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,7,1344
03-06-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,2,476
03-06-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,7,1666
03-06-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,13,3042
10-06-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,3,348
10-06-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,5,625
10-06-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,12,2808
13-06-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,4,500
13-06-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,9,2178
13-06-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,3,726
18-06-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,11,2420
18-06-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,2,440
19-06-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,13,3146
19-06-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,14,3332
19-06-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,4,464
26-06-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,8,1600
26-06-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,1,192
26-06-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,2,476
01-07-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,6,750
01-07-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,5,830
03-07-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,13,2860
09-07-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,8,928
09-07-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,4,952
15-07-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,7,1400
18-07-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,6,558
18-07-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,1,238
20-07-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,9,1494
23-07-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,6,1152
23-07-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,12,2904
02-08-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,14,2688
02-08-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,14,3332
11-08-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,15,1395
11-08-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,9,2142
11-08-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,8,1904
12-08-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,2,400
13-08-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,10,1660
13-08-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,5,625
18-08-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,3,726
18-08-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,14,1624
20-08-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,3,375
20-08-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,7,1162
31-08-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,12,2808
31-08-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,6,696
31-08-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,11,1826
08-09-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,9,837
08-09-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,1,116
08-09-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,2,384
17-09-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,5,1190
17-09-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,5,1000
19-09-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,11,1023
19-09-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,6,1428
21-09-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,9,837
21-09-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,4,800
26-09-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,6,1200
26-09-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,2,484
26-09-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,1,93
28-09-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,9,1728
28-09-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,3,375
04-10-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,3,576
04-10-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,6,1152
04-10-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,1,238
05-10-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,15,2490
05-10-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,12,2904
09-10-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,5,960
09-10-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,9,1980
09-10-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,1,93
10-10-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,15,1395
11-10-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,14,3080
12-10-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,5,465
14-10-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,3,576
14-10-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,6,1200
14-10-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,4,880
20-10-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,13,3146
20-10-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,6,1452
20-10-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,15,3630
21-10-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,2,232
21-10-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,3,279
21-10-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,2,400
24-10-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,7,1666
24-10-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,2,332
24-10-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,13,3042
31-10-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,8,1936
31-10-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,6,696
31-10-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,5,580
04-11-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,15,3570
04-11-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,14,3332
06-11-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,4,952
11-11-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,6,1320
19-11-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,8,1872
19-11-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,10,2420
20-11-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,15,3510
20-11-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,6,1428
26-11-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,2,186
26-11-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,8,1936
29-11-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,3,348
29-11-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,5,830
29-11-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,8,1328
30-11-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,15,1740
30-11-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,13,2600
30-11-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,15,1875
03-12-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,11,2420
04-12-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,15,1875
09-12-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,5,625
09-12-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,8,1536
15-12-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,13,1625
15-12-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,6,696
15-12-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,4,664
19-12-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,12,2400
19-12-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,2,384
19-12-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,10,2380
20-12-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,15,2880
20-12-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,3,279
21-12-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,6,558
21-12-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,1,238
23-12-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,13,2496
23-12-2023,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,12,1992
27-12-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,12,1500
27-12-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,5,580
27-12-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,7,1694
30-12-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,13,2600
30-12-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,5,1190
30-12-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,15,1875
02-01-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,1,234
02-01-2024,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,5,580
02-01-2024,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,15,1395
09-01-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,5,830
09-01-2024,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,2,476
09-01-2024,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,10,1250
13-01-2024,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,2,440
18-01-2024,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,9,1980
21-01-2024,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,4,768
21-01-2024,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,1,238
21-01-2024,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,14,3388
22-01-2024,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,6,1428
25-01-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,6,996
25-01-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,5,830
25-01-2024,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,15,1875
02-02-2024,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,14,1624
02-02-2024,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,13,2496
02-02-2024,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,11,2420
03-02-2024,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,15,3000
03-02-2024,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,11,1276
05-02-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,9,2106
05-02-2024,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,10,1160
06-02-2024,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,4,968
06-02-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,3,702
22-02-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,8,1872
22-02-2024,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,10,2000
22-02-2024,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,5,465
25-02-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,1,166
25-02-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,10,2340
25-02-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,12,2808
28-02-2024,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,15,3000
02-03-2024,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,14,2688
02-03-2024,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,11,2662
04-03-2024,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,4,500
05-03-2024,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,6,1320
05-03-2024,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,4,952
05-03-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,5,830
07-03-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,8,1328
07-03-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,3,498
07-03-2024,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,15,1875
19-03-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,4,664
19-03-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,5,1170
19-03-2024,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,13,3146
22-03-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,1,166
22-03-2024,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,4,372
22-03-2024,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,1,125
27-03-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,13,2158
27-03-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,11,2574
28-03-2024,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,6,1152
29-03-2024,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,3,714
29-03-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,6,1404
29-03-2024,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,4,372
03-04-2024,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,11,1276
03-04-2024,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,3,279
03-04-2024,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,11,2200
06-04-2024,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,10,930
11-04-2024,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,7,1540
11-04-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,8,1328
12-04-2024,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,7,1400
12-04-2024,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,4,800
12-04-2024,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,13,1508
13-04-2024,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,3,660
13-04-2024,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,4,952
14-04-2024,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,2,250
14-04-2024,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,1,234
14-04-2024,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,15,2880
15-04-2024,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,15,3000
18-04-2024,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,10,1920
18-04-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,3,498
19-04-2024,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,6,558
23-04-2024,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,4,968
23-04-2024,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,11,2662
24-04-2024,D001-S01-C001,D001,D001-S01,C,P001,Product 1,16.4,18.9,6.8,9,1494
25-04-2024,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,1,200
25-04-2024,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,14,3332
